#percentage  seed  absolute_enhancement  relative_enhancement
10 -26132 360.21774328824781017242 87.26910343303075766021
10 -26133 258.63885693854491614090 864.57614574839537782988
10 -26136 372.52617382413946337966 235.30137918032653795121
10 -26132 360.21774328824781017242 87.26910343303075766021
10 -26135 360.18262451547040316641 84.26458618137258032637
10 -26137 314.47580090948294316969 66.76238648284979136813
10 -26132 360.21774328824781017242 87.26910343303075766021
10 -26143 351.68172844548551724884 239.92115602850972388589
10 -52478 369.17181305046879219340 118.87184031360358103664
10 -26496 340.83463001255278947600 509.05495645605704637113
10 -26607 340.05965305501839894756 742.28270131823822053411
10 -53234 336.42215074804567814368 96.94607308651183803645
10 -26381 240.88579912755470433890 939.85985918829460769856
10 -53210 296.76955042825036128278 275.99581442466450939017
10 -26519 372.73071755079154049071 222.80244211313203366786
10 -26572 232.87985694938988471941 210.41122466296026478682
10 -26718 363.21522235936598392871 151.67187336659630662513
10 -26991 373.54326837712161842607 320.38063873378389346155
10 -27096 283.42442831338578024343 127.30806617463232566416
10 -27267 365.81305116233486654676 207.68941344579186427302
10 -27323 262.85019747185096704385 87.45127949699441584473
10 -27465 341.99965133204315480306 95.45408182603941136247
10 -27281 318.23594029538394708303 239.73050404630597509380
10 -27337 332.87403709752676070404 587.03868433544307362544
10 -54790 238.83307033407990785967 788.85344443340783356522
10 -27428 350.98332316322875400774 77.80809442173974316435
10 -27511 357.99080623982099929966 324.47059498186675472455
10 -27533 373.15408322270213885986 155.64990234258126449449
10 -55084 326.03007168618162331761 135.19989187432055380590
10 -27734 378.14817942727020422715 385.77555354153349546439
10 -27638 362.13047881216138737269 63.88601463157361718573
10 -56012 337.25662941441221287068 240.04356789805584898563
10 -28202 277.19883761909573074407 2987.33725539837729064577
10 -27852 325.77480997115984738120 53.41727969780854176717
10 -28010 365.82903553782922720862 112.56514533614582419638
10 -28063 270.32729866512418373677 162.40190416870206356079
10 -28113 256.73678295004502668229 102.61080796056142973304
10 -28163 362.44874653286263927596 522.18819116850040310364
10 -28234 367.67838829308187389957 66.10965764981261748217
